ifLeader,employeeId,taskId
False,734,868
False,183,635
False,522,942
True,305,731
False,779,492
True,967,245
False,182,919
False,538,501
True,79,761
True,234,179
True,243,724
True,276,110
True,897,223
True,801,425
False,614,376
False,940,755
True,113,896
True,753,731
False,573,55
False,534,836
True,371,658
True,596,668
True,912,873
False,671,457
True,308,441
True,368,773
False,282,359
False,529,314
False,535,92
False,656,626
False,105,107
True,254,309
True,233,885
True,257,313
False,309,349
True,871,473
False,671,413
False,988,256
True,600,771
True,375,569
True,441,836
True,827,52
True,843,723
True,971,395
False,410,209
True,870,68
False,825,558
True,517,893
False,68,949
False,362,26
True,765,419
True,59,921
False,33,803
False,102,215
False,596,343
False,508,89
False,639,865
False,342,277
True,628,641
True,802,98
False,115,441
False,533,856
False,890,441
False,650,712
False,778,892
False,115,944
True,163,823
False,282,988
False,93,591
False,688,11
False,642,788
False,568,239
True,121,44
True,861,290
False,531,156
False,370,491
True,634,376
False,780,518
True,862,516
False,31,27
True,749,308
False,770,97
True,59,860
True,231,698
True,322,493
False,880,455
False,257,796
False,451,502
True,508,675
False,722,20
True,188,785
True,834,949
False,498,683
False,878,876
True,414,623
False,719,272
True,378,328
False,458,180
False,512,714
True,480,887
True,852,237
True,309,663
False,387,217
False,694,673
True,327,612
False,427,924
False,349,157
True,837,617
True,820,126
True,409,651
False,189,31
True,708,949
True,522,895
False,145,205
True,91,195
False,409,118
False,498,447
False,43,794
False,875,22
True,297,849
False,32,156
True,618,646
True,69,197
False,621,523
True,959,570
False,370,653
True,481,35
True,678,531
False,641,365
True,33,164
True,449,677
False,650,942
True,309,636
False,216,216
True,733,526
False,59,401
False,690,538
False,683,754
False,939,581
False,100,32
True,726,27
False,581,533
False,385,599
True,46,828
True,895,856
True,174,402
False,5,528
True,421,208
True,618,94
False,244,575
True,350,304
True,590,105
True,178,898
False,845,43
True,375,669
False,218,978
True,636,325
False,493,289
True,234,879
True,729,513
False,603,655
True,406,521
False,744,525
True,412,761
False,917,512
False,634,415
True,389,960
False,548,634
False,986,489
True,959,218
False,384,239
False,63,202
True,617,323
True,843,729
False,830,204
True,904,931
False,92,414
False,540,77
False,837,997
True,194,4
True,303,380
True,845,865
True,530,637
False,874,813
False,949,133
False,657,457
False,309,399
False,505,753
False,717,128
True,295,655
True,286,979
False,27,493
True,629,89
True,519,847
True,122,747
False,666,169
True,24,264
False,717,741
False,120,156
True,658,526
True,73,95
False,829,100
False,339,294
True,287,294
False,281,27
True,580,301
True,845,165
False,131,348
False,527,642
False,832,420
False,300,920
False,390,372
False,43,562
True,562,3
True,192,425
False,151,609
True,496,783
True,707,504
True,279,323
True,417,489
False,588,624
True,904,299
True,87,742
True,426,619
True,507,103
True,985,30
False,174,106
True,918,46
False,15,933
False,203,301
False,988,845
True,103,853
False,624,701
True,786,49
True,930,853
False,287,162
False,796,976
False,435,353
False,337,874
True,444,157
False,182,699
False,448,323
False,849,518
True,427,31
False,154,551
True,807,591
False,189,119
False,296,145
False,129,755
False,346,824
True,327,787
False,41,287
False,678,161
False,770,965
False,558,887
True,127,135
False,205,774
False,518,882
True,445,279
True,383,24
True,860,2
False,577,879
True,689,951
False,503,106
False,473,257
True,375,711
True,754,696
True,789,475
False,643,810
False,897,827
False,534,315
True,222,613
False,588,931
False,279,149
True,943,594
True,318,31
True,486,65
False,684,307
False,394,676
False,443,718
False,51,297
True,657,438
False,517,588
True,363,201
False,76,809
True,733,197
True,296,728
True,393,240
True,777,234
False,38,59
True,262,815
True,9,226
True,916,634
True,811,95
True,177,387
False,263,938
False,245,809
True,460,431
True,790,890
True,477,453
True,832,727
False,408,451
True,662,150
True,293,938
True,922,505
True,181,598
False,912,329
False,822,626
True,154,197
True,787,387
False,556,612
True,820,619
False,832,175
True,400,783
True,948,993
True,728,847
True,520,42
True,641,938
False,7,766
True,8,492
True,192,851
True,976,138
False,491,329
False,707,542
True,820,219
False,79,178
False,444,894
True,651,278
True,953,843
False,857,77
False,85,569
True,718,323
True,984,118
True,835,963
False,236,729
True,742,787
False,671,478
False,627,628
False,893,748
True,643,755
False,67,446
False,690,844
True,516,54
True,204,907
True,459,273
True,570,508
True,776,27
True,40,50
False,81,199
True,181,995
True,271,284
True,969,589
True,580,720
True,735,66
False,142,58
False,563,178
False,882,94
False,108,305
True,895,551
False,402,742
True,672,596
True,554,652
True,946,242
True,55,895
False,315,693
True,643,682
True,978,358
True,413,261
True,828,821
False,822,828
True,832,672
True,97,181
True,920,433
False,2,161
False,542,419
True,27,84
False,353,160
True,641,860
False,20,409
True,319,172
True,73,514
False,436,478
False,692,352
False,257,880
True,614,866
True,143,549
False,939,963
True,3,680
False,260,860
True,191,347
True,305,879
True,974,557
True,181,500
False,704,349
True,955,729
True,292,772
False,127,849
True,447,408
True,467,709
False,182,78
False,501,936
False,416,647
True,416,535
False,599,521
True,811,563
True,997,686
False,378,505
False,316,220
True,20,926
True,579,183
False,681,208
False,28,725
False,215,195
True,584,176
False,715,691
True,114,61
True,718,245
True,466,159
True,151,864
False,749,156
True,193,772
False,452,906
True,235,469
True,366,256
False,459,189
True,667,969
False,320,17
True,959,131
False,587,927
False,791,521
True,554,63
False,539,874
True,316,892
True,976,623
True,479,590
False,300,839
False,642,714
False,635,949
False,456,61
True,208,373
False,269,829
False,197,226
True,679,498
False,832,224
True,31,37
True,629,679
False,838,361
False,839,403
True,35,53
False,363,402
True,6,901
True,694,277
True,429,523
True,216,601
True,888,767
False,587,783
True,869,311
False,192,592
True,921,507
True,101,982
False,161,95
True,984,341
False,521,62
True,265,879
True,849,67
True,486,276
False,96,562
False,364,270
True,491,181
False,368,654
False,124,639
False,936,278
True,613,266
True,789,818
True,239,515
False,580,205
True,495,777
True,741,639
False,608,549
True,190,409
False,339,34
True,822,71
False,942,545
False,690,298
False,516,211
True,481,298
True,96,818
False,659,531
False,432,493
False,310,407
False,239,914
True,909,312
False,766,563
True,660,754
False,288,49
False,673,379
True,791,589
False,175,221
False,197,914
False,369,440
True,646,289
False,3,890
False,428,710
False,330,488
False,92,332
False,226,255
False,580,679
True,930,462
False,740,452
True,177,983
False,526,413
True,910,864
False,775,50
False,509,9
False,372,811
True,650,795
False,532,957
True,10,353
True,205,661
True,67,997
True,689,138
False,579,120
True,578,803
False,296,322
True,750,771
True,267,971
True,630,85
True,699,649
False,572,69
False,607,612
True,704,28
True,869,867
False,64,571
True,669,963
False,546,109
False,633,172
False,983,842
True,422,754
False,272,933
True,626,951
True,976,809
False,490,176
False,578,453
False,922,75
False,238,910
False,135,197
True,782,530
False,872,456
True,349,511
False,244,894
True,300,377
True,901,387
False,356,570
False,565,454
True,683,423
False,917,458
False,489,366
False,214,845
True,859,828
True,551,929
False,251,398
False,134,55
True,840,627
False,78,441
False,331,359
False,267,114
True,96,195
True,509,936
True,130,514
False,182,905
True,981,772
False,109,313
False,317,847
True,447,642
False,581,517
False,790,125
False,640,333
False,791,935
True,504,70
False,933,720
False,526,739
True,562,593
True,169,132
True,312,431
False,671,824
False,872,589
False,920,109
False,348,564
True,778,539
False,281,128
True,873,730
True,96,497
True,784,975
True,889,276
False,59,629
False,426,499
False,388,664
False,91,804
False,842,578
True,601,750
True,460,984
True,60,772
True,623,117
True,264,984
False,164,106
False,339,607
False,990,555
True,806,389
False,786,167
True,432,686
True,999,673
True,144,995
False,328,563
True,511,431
False,216,68
True,393,661
False,833,577
False,724,212
False,422,587
True,214,306
True,423,897
True,190,289
False,787,645
True,360,18
True,580,310
False,940,687
False,874,562
False,620,123
False,613,456
True,847,154
True,632,13
True,908,638
False,815,891
False,988,64
False,462,346
True,468,716
False,166,363
False,202,293
False,765,840
False,41,997
True,296,203
False,742,148
False,271,776
True,137,131
False,760,415
False,362,393
False,470,691
True,1,276
True,445,790
True,449,473
False,296,970
False,281,124
False,836,350
True,728,542
False,6,493
True,585,817
False,55,223
False,767,847
False,55,866
True,390,604
False,897,679
False,585,970
True,336,842
True,999,933
False,176,880
False,871,135
False,889,602
False,706,565
False,8,339
True,796,874
False,735,653
True,247,373
True,838,786
False,590,908
False,38,865
True,974,298
True,607,392
True,188,836
True,12,178
False,246,716
False,633,307
True,144,382
True,789,294
True,930,359
False,960,645
False,378,798
True,394,63
True,943,393
False,303,306
False,907,376
True,559,265
False,293,996
False,289,244
False,480,193
True,409,836
False,526,805
False,945,747
True,928,166
False,142,301
False,138,576
False,923,945
False,328,224
False,580,931
False,106,576
False,166,379
False,178,104
True,376,732
False,435,914
True,813,900
True,859,706
True,292,182
True,469,627
True,918,271
True,903,8
False,342,51
False,947,114
False,872,191
False,811,269
False,922,215
False,722,958
True,599,64
True,771,650
False,743,580
True,345,497
False,288,161
True,233,255
False,36,42
False,173,386
True,676,880
False,528,346
True,241,222
False,407,608
True,645,659
True,714,106
False,402,392
True,948,530
True,158,364
False,84,877
False,430,165
True,176,484
False,11,378
True,838,618
True,809,378
True,868,727
False,169,908
False,803,683
False,335,464
True,799,558
True,663,650
False,60,400
True,348,848
False,262,746
False,858,221
True,853,964
True,239,347
False,765,22
True,292,983
True,79,798
False,420,946
False,77,399
True,344,837
True,59,702
True,404,841
True,482,236
False,281,752
True,906,713
False,633,967
False,571,683
True,872,402
True,825,828
True,228,99
True,925,28
True,963,514
False,492,483
True,116,960
False,658,555
True,947,416
False,377,947
False,623,752
False,655,177
False,319,136
False,142,747
False,78,830
True,75,165
True,553,909
False,483,958
False,784,560
True,493,87
False,216,873
True,909,887
True,22,672
True,766,457
False,346,846
True,381,537
True,358,701
True,994,282
True,350,268
True,422,461
True,716,133
False,718,362
False,475,866
True,779,38
True,726,623
True,77,991
False,809,907
True,764,961
False,156,464
False,486,41
False,421,243
True,738,162
True,747,449
False,943,848
True,420,184
True,222,198
True,648,701
False,405,146
False,556,788
True,754,399
False,34,437
False,812,269
True,58,260
True,982,478
True,67,394
True,527,926
True,351,149
False,965,768
False,900,807
True,896,438
True,760,622
False,967,149
True,413,861
True,545,703
True,685,61
True,603,369
True,11,1000
True,859,217
False,249,880
False,334,140
True,249,994
False,37,10
False,196,840
True,574,943
True,911,150
True,647,620
False,730,381
True,613,351
False,502,582
True,357,905
True,488,429
True,322,523
False,601,853
True,514,506
False,749,188
True,254,12
True,254,379
False,850,308
False,745,976
True,774,651
True,483,200
True,7,813
True,262,831
True,264,329
True,581,225
False,236,933
False,19,858
True,327,641
False,363,915
False,512,537
False,162,956
False,760,267
True,784,159
False,151,216
False,111,757
False,441,170
False,832,532
False,333,762
True,982,276
True,79,773
True,622,688
False,884,663
True,455,146
False,332,731
True,875,849
True,840,92
True,268,673
True,646,48
False,670,559
False,781,281
False,95,673
False,300,458
False,125,628
True,965,102
False,720,917
True,762,226
False,170,460
False,512,615
True,366,445
True,788,846
False,15,384
False,143,174
True,904,949
True,220,251
True,57,811
True,5,548
False,343,603
True,920,149
False,522,859
False,887,550
True,506,925
False,922,183
False,152,18
True,939,609
True,445,24
True,115,49
False,225,983
False,740,56
True,335,850
False,985,766
False,707,92
True,165,130
True,321,244
False,945,271
True,317,244
False,269,613
False,797,591
True,432,479
False,534,172
True,238,356
True,348,741
True,929,948
False,302,689
True,771,429
False,68,952
True,221,909
False,890,213
True,319,172
True,840,561
True,841,250
True,106,573
True,280,896
False,826,558
False,989,269
True,599,110
True,65,616
True,232,723
True,513,151
True,831,37
False,502,401
True,821,641
True,637,886
True,275,185
True,862,747
False,527,16
True,281,24
True,381,709
True,12,47
True,614,181
True,195,438
False,82,467
False,763,322
True,261,705
False,645,77
True,706,779
False,493,654
True,383,899
False,404,363
True,634,316
False,247,189
False,434,136
False,365,426
False,768,805
True,886,80
False,896,750
False,99,333
True,379,779
False,735,642
True,961,348
True,988,11
True,317,29
True,41,55
True,226,435
True,476,666
False,391,301
True,674,471
True,455,608
False,917,442
True,155,436
True,688,350
False,161,386
True,164,990
False,85,239
True,43,892
False,695,268
False,592,722
False,726,697
False,58,25
True,991,339
False,623,237
True,878,881
False,712,764
